feature,role,missing_fraction_original,n_unique_final
ph,continuous_requires_fold_imputation,0.5332,7
temp,continuous_requires_fold_imputation,0.1031,8
ce,continuous_requires_fold_imputation,0.0,923
aic,continuous_requires_fold_imputation,0.0991,18
rpm,continuous_requires_fold_imputation,0.0535,12
sa,continuous_requires_fold_imputation,0.3796,68
fg_complexing,binary,0.0,2
fg_polar,binary,0.0,2
fg_any,binary,0.0,2
metal_cd_ii,binary,0.0,2
metal_cr_vi,binary,0.0,2
metal_hg_ii,binary,0.0,2
ags_aged,binary,0.0,2
ags_virgin,binary,0.0,2
ret_other,binary,0.0,2
ret_pa,binary,0.0,2
ret_pe,binary,0.0,2
ret_pet,binary,0.0,2
ret_pla,binary,0.0,2
ret_pp,binary,0.0,2
ret_ps,binary,0.0,2
ret_pvc,binary,0.0,2
adc_mixed,binary,0.0,2
adc_single_ion,binary,0.0,2
aged_condition_lab_electron_beam,binary,0.0,2
aged_condition_lab_fenton,binary,0.0,2
aged_condition_lab_h202,binary,0.0,2
aged_condition_lab_h2o2,binary,0.0,2
aged_condition_lab_o3_water,binary,0.0,2
aged_condition_lab_sulfur_anaerobiosis,binary,0.0,2
aged_condition_lab_uv,binary,0.0,2
aged_condition_lab_uv_air,binary,0.0,2
aged_condition_lab_uv_h202,binary,0.0,2
aged_condition_lab_uv_pure_water,binary,0.0,2
aged_condition_lab_uv_seawater,binary,0.0,2
aged_condition_lab_wastewater,binary,0.0,2
aged_condition_labplusnature_h202_sunlight,binary,0.0,2
aged_condition_missing,binary,0.0,2
aged_condition_nature_wastewater,binary,0.0,2
solution_added_agent_as_iii,binary,0.0,2
solution_added_agent_fa,binary,0.0,2
solution_added_agent_ha,binary,0.0,2
solution_added_agent_hbcd,binary,0.0,2
solution_added_agent_missing,binary,0.0,2
solution_added_agent_ta,binary,0.0,2
solution_added_agent_tetracycline,binary,0.0,2
ph_missing,missing_indicator,0.0,2
temp_missing,missing_indicator,0.0,2
aic_missing,missing_indicator,0.0,2
rpm_missing,missing_indicator,0.0,2
sa_missing,missing_indicator,0.0,2
